Parameters for this run: 
MM = 256.000000 
t_end = 1.000000 
factor = 0.960000 
dtout = 1.000000 
D = 0.100000 
a = 0.000000 
b = 1.000000 
 
Number of workers = 8
 
# U, u_exact, error at time = 1.000048828125
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
9.965155303384183316e-01 9.965154787326485630e-01 5.160576976859232445e-08
9.895468568222827166e-01 9.895467020260804158e-01 1.547962023007443122e-07
9.825789806664038117e-01 9.825787227430793358e-01 2.579233244759393529e-07
9.756124332415585521e-01 9.756120722965891945e-01 3.609449693575683682e-07
9.686477456145125009e-01 9.686472817954842052e-01 4.638190282957310728e-07
9.616854484265795477e-01 9.616848819231030854e-01 5.665034764623655406e-07
9.547260717723400347e-01 9.547254028159460892e-01 6.689563939454856722e-07
9.477701450785713799e-01 9.477693739425796515e-01 7.711359917283999721e-07
9.408181969834296110e-01 9.408173239827964940e-01 8.730006331170159228e-07
9.338707552159342118e-01 9.338697807070759360e-01 9.745088582757688300e-07
9.269283464757968050e-01 9.269272708563902619e-01 1.075619406543104617e-06
9.199914963136432977e-01 9.199903200224032185e-01 1.176291240079230249e-06
9.130607290116725672e-01 9.130594525281066076e-01 1.276483565959551925e-06
9.061365674647974267e-01 9.061351913089377152e-01 1.376155859711403195e-06
8.992195330623136140e-01 8.992180577944263176e-01 1.475267887296460856e-06
8.923101455701389906e-01 8.923085717904117864e-01 1.573779727204183132e-06
8.854089230136713562e-01 8.854072513618783669e-01 1.671651792989337082e-06
8.785163815613045157e-01 8.785146127164493723e-01 1.768844855143392181e-06
8.716330354086491150e-01 8.716311700885869262e-01 1.865320062188757788e-06
8.647593966635003238e-01 8.647574356245379956e-01 1.961038962328132129e-06
8.578959752315955534e-01 8.578939192680707926e-01 2.055963524760784367e-06
8.510432787032047308e-01 8.510411286470451753e-01 2.150056159555546742e-06
8.442018122405950953e-01 8.441995689608555731e-01 2.243279739522208160e-06
8.373720784664112626e-01 8.373697428687927324e-01 2.335597618530194097e-06
8.305545773530140785e-01 8.305521503793609206e-01 2.426973653157915578e-06
8.237498061128148974e-01 8.237472887405941080e-01 2.517372220789404480e-06
8.169582590896494745e-01 8.169556523314098762e-01 2.606758239598327975e-06
8.101804276512277747e-01 8.101777325540411301e-01 2.695097186644623832e-06
8.034168000827006662e-01 8.034140177275839179e-01 2.782355116748291834e-06
7.966678614813801351e-01 7.966649929827006593e-01 2.868498679475806057e-06
7.899340936526531021e-01 7.899311401575146441e-01 2.953495138457995495e-06
7.832159750071229221e-01 7.832129376947365440e-01 3.037312386378054896e-06
7.765139804590178718e-01 7.765108605400543595e-01 3.119918963512269272e-06
7.698285813259002630e-01 7.698253800418275450e-01 3.201284072718024731e-06
7.631602452297129302e-01 7.631569638521171761e-01 3.281377595754086940e-06
7.565094359991966222e-01 7.565060758290877985e-01 3.360170108823723467e-06
7.498766135737117144e-01 7.498731759408150399e-01 3.437632896674536198e-06
7.432622339084989926e-01 7.432587201705307400e-01 3.513737968252605981e-06
7.366667488814087061e-01 7.366631604233400132e-01 3.588458068692901293e-06
7.300906062011330855e-01 7.300869444344382231e-01 3.661766694862400584e-06
7.235342493169698574e-01 7.235305156788628400e-01 3.733638107017434038e-06
7.169981173301481769e-01 7.169943132828071608e-01 3.804047341016136841e-06
7.104826449067466188e-01 7.104787719365258658e-01 3.872970220752947057e-06
7.039882621922295414e-01 7.039843218088600585e-01 3.940383369482880482e-06
6.975153947276322430e-01 6.975113884634118744e-01 4.006264220368649376e-06
6.910644633674181136e-01 6.910603927763915300e-01 4.070591026583691985e-06
6.846358841990366484e-01 6.846317508561651222e-01 4.133342871526224371e-06
6.782300684642056376e-01 6.782258739645280476e-01 4.194499677590002307e-06
